,Brand,Model,Price,Engine Capacity,Classification,Registration Date,COE Expiry Date,Mileage,No. of owners,Type of Vehicle,Listing Details,Price (06-Jul-2022),Price (07-Jul-2022),Price (08-Jul-2022),Price (12-Jul-2022)
0,Honda,Honda CB400 Super 4 Spec 3,SGD$7200,399cc,Class 2A,25-May-04,24-May-24,180000km,1,Street Bikes, Honda CB400 Super 4 Spec 3 For Sale.Travelling For Work Only.Coe Till May 2024 (Renewable).Fully Serviced By Reputable Workshop.Full Cash Payment.Viewing Is Strongly Recommended.Viewing At Fernvale Road.Contact For Viewing. Accessories- Hepco & Becker Box- Scott Oiler,SGD$7200,SGD$7200,SGD$7200,SGD$7200
1,Yamaha,Yamaha Sniper 150,SGD$6333,150cc,Class 2B,26-Dec-15,25-Dec-25,-,- ,Cubs," Yamaha Sniper 150 For Sale.Good Showroom Condition.View To Appreciate.Trade/Loan Available. View At C.S.T.K Pte Ltd, 481 Geylang Road.Call/View To Neg. ",SGD$6333,SGD$7333,SGD$7333,SGD$7333
2,Yamaha,Yamaha Xmax 300,SGD$18888,292cc,Class 2A,16-Jan-19,15-Jan-29,40894km,- ,Scooters, Used Yamaha X-Max 300 For Sale.*Termignoni Exhaust*YSS Rear Shock*Carbon Fiber Parts : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$18888,SGD$18888,SGD$18888,SGD$18888
3,Yamaha,Yamaha Xmax 300,SGD$18888,292cc,Class 2A,16-Jul-20,15-Jul-30,70818km,- ,Scooters, Used Yamaha X-Max 300 For Sale!*Overhaul Just Done By Us*Ohlins Rear Shock* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$18888,SGD$18888,SGD$18888,SGD$18888
4,Yamaha,Yamaha Sniper 150,SGD$7188,150cc,Class 2B,28-Jul-16,27-Jul-26,122952km,- ,Cubs, Used Yamaha Sniper T150 V1 For Sale!* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$7188,SGD$7188,SGD$7188,SGD$7188
5,Yamaha,Yamaha FZN150i,SGD$4800,149cc,Class 2B,1-Aug-15,31-Jul-25,-,- ,Street Bikes," Yamaha FZN150i For Sale.Well Maintain Condition. Loan Available, Welcome Trade In. Come Visit Us At New Southern Motor.Blk 1008 Bukit Merah Lane 3#01-12S(159722).Interested Buyers Are Welcome To Negotiate. ",SGD$4800,SGD$4800,SGD$4800,SGD$4800
6,Honda,Honda CB190X Tourism,SGD$9600,184cc,Class 2B,7-Jan-19,6-Jan-29,39539km,- ,Sport Tourers," Honda CB190X Tourism For Sale.Well Maintain Condition. Loan Available, Welcome Trade In. Come Visit Us At New Southern Motor.Blk 1008 Bukit Merah Lane 3#01-12S(159722).Interested Buyers Are Welcome To Negotiate. ",SGD$9600,,SGD$9600,SGD$9600
7,Honda,Honda CB190R,SGD$7800,184cc,Class 2B,7-Sep-17,6-Sep-27,56197km,- ,Street Bikes," Honda CB190R For Sale.Well Maintain Condition. Loan Available, Welcome Trade In. Come Visit Us At New Southern Motor.Blk 1008 Bukit Merah Lane 3#01-12S(159722).Interested Buyers Are Welcome To Negotiate. ",SGD$7800,,SGD$7800,SGD$7800
8,BMW,BMW K1600GT,SGD$26800,1649cc,Class 2,19-May-15,18-May-25,44500km,2,Sport Tourers," Unstoppable Sport Tourer!!! 2015 BMW K1600GT Black Storm Metallic Color. Mature Owner. Keyless Ride Model. Immaculate Condition With Genuine Mileages Of 44,500Km. Servicing Done At BMW Agent And Reputable Workshop. Recently Changed New Set Of Tire Bridgestone Battlax T32.Viewing Is Highly Recommended. Feel free To Call/Visit Us With No Obligations. BMW Make Life A Ride. Accessories- 2 x BMW Touring Panniers. - BMW Top Box ( 49L )With LED Brake Light. - BMW LED Fog Lights.- Headlight Protector. Etc.....",SGD$26800,,,
9,Honda,Honda Adv 150,SGD$13388,149cc,Class 2B,5-Jan-21,4-Jan-31,62493km,- ,Scooters, Used Honda ADV150 For Sale!*New Paintwork* Price Before Insurance Only. : $0 Down Payment  No Hidden Cost Bad Credit Record Are Welcome 10 Years Loan Option We Accept High Trade In Prices 1 Day Collection Low Interest Rate Fast Loan Approval Call or PM us for Free Quotation Free Servicing / Freebies Please Contact Our Sale Teams: Beng - +65 90699255  Lincoln - +65 91453915 Fiona - +65 96914631 :25 Kaki Bukit Road 4 Synergy @ KB#01-32/33Singapore 417800Tel: 6242 90977 ,SGD$13388,,,
